PCA components,hidden_layer_sizes,alpha,activation,solver,learning_rate,mean_accuracy
No PCA,"(50,)",0.01,relu,sgd,adaptive,0.8166666666666668
No PCA,"(50,)",0.0001,relu,sgd,constant,0.8166666666666668
No PCA,"(50,)",0.0001,relu,sgd,adaptive,0.8166666666666668
No PCA,"(50,)",0.001,relu,sgd,adaptive,0.8166666666666668
No PCA,"(50,)",0.001,relu,sgd,constant,0.8166666666666668
No PCA,"(100, 50)",0.0001,relu,sgd,adaptive,0.8125
No PCA,"(100, 50)",0.001,relu,sgd,constant,0.8125
No PCA,"(100, 50)",0.001,relu,sgd,adaptive,0.8125
No PCA,"(100, 50)",0.0001,relu,sgd,constant,0.8125
150,"(50,)",0.01,tanh,sgd,constant,0.8083333333333332
150,"(50,)",0.001,tanh,sgd,constant,0.8083333333333332
No PCA,"(100, 50)",0.01,relu,sgd,adaptive,0.8083333333333332
150,"(50,)",0.0001,tanh,sgd,adaptive,0.8083333333333332
No PCA,"(100, 50)",0.01,relu,sgd,constant,0.8083333333333332
150,"(50,)",0.0001,tanh,sgd,constant,0.8083333333333332
150,"(50,)",0.001,tanh,sgd,adaptive,0.8083333333333332
150,"(50,)",0.01,tanh,sgd,adaptive,0.8083333333333332
No PCA,"(100,)",0.001,relu,adam,adaptive,0.7958333333333334
No PCA,"(100,)",0.001,relu,adam,constant,0.7958333333333334
50,"(100, 50)",0.001,relu,sgd,adaptive,0.7916666666666666
50,"(100, 50)",0.0001,relu,sgd,constant,0.7916666666666666
50,"(100, 50)",0.01,relu,sgd,adaptive,0.7916666666666666
50,"(100, 50)",0.01,relu,sgd,constant,0.7916666666666666
50,"(100, 50)",0.001,relu,sgd,constant,0.7916666666666666
50,"(100, 50)",0.0001,relu,sgd,adaptive,0.7916666666666666
100,"(50,)",0.001,tanh,sgd,constant,0.7833333333333333
100,"(50,)",0.01,tanh,sgd,adaptive,0.7833333333333333
100,"(50,)",0.01,tanh,sgd,constant,0.7833333333333333
100,"(50,)",0.001,tanh,sgd,adaptive,0.7833333333333333
100,"(50,)",0.0001,tanh,sgd,constant,0.7833333333333333
100,"(50,)",0.0001,tanh,sgd,adaptive,0.7833333333333333
50,"(50,)",0.001,relu,sgd,constant,0.7791666666666667
50,"(50,)",0.01,relu,sgd,adaptive,0.7791666666666667
50,"(50,)",0.0001,relu,sgd,constant,0.7791666666666667
50,"(50,)",0.001,relu,sgd,adaptive,0.7791666666666667
50,"(50,)",0.0001,relu,sgd,adaptive,0.7791666666666667
50,"(50,)",0.01,relu,sgd,constant,0.7791666666666667
No PCA,"(100,)",0.0001,relu,adam,adaptive,0.775
No PCA,"(100,)",0.0001,relu,adam,constant,0.775
150,"(50,)",0.0001,relu,sgd,adaptive,0.7625000000000001
150,"(50,)",0.001,relu,sgd,constant,0.7625000000000001
150,"(50,)",0.01,relu,sgd,constant,0.7625000000000001
100,"(50,)",0.0001,relu,sgd,adaptive,0.7625000000000001
100,"(50,)",0.0001,relu,sgd,constant,0.7625000000000001
150,"(50,)",0.0001,relu,sgd,constant,0.7625000000000001
150,"(50,)",0.001,relu,sgd,adaptive,0.7625000000000001
150,"(50,)",0.01,relu,sgd,adaptive,0.7625000000000001
100,"(50,)",0.001,relu,sgd,adaptive,0.7625000000000001
100,"(50,)",0.001,relu,sgd,constant,0.7625000000000001
100,"(50,)",0.01,relu,sgd,constant,0.7625000000000001
100,"(50,)",0.01,relu,sgd,adaptive,0.7625000000000001
50,"(50,)",0.01,tanh,sgd,adaptive,0.75
50,"(50,)",0.01,tanh,sgd,constant,0.75
50,"(50,)",0.0001,tanh,sgd,adaptive,0.75
50,"(50,)",0.0001,tanh,sgd,constant,0.75
50,"(50,)",0.001,tanh,sgd,adaptive,0.75
50,"(50,)",0.001,tanh,sgd,constant,0.75
No PCA,"(50,)",0.001,relu,adam,constant,0.3333333333333333
No PCA,"(50,)",0.001,relu,adam,adaptive,0.3333333333333333
No PCA,"(50,)",0.0001,relu,adam,adaptive,0.2916666666666667
No PCA,"(50,)",0.0001,relu,adam,constant,0.2916666666666667
No PCA,"(50,)",0.01,relu,adam,adaptive,0.2708333333333333
No PCA,"(50,)",0.01,relu,adam,constant,0.2708333333333333
